name,birthDate,comparison,currentPositions,wikidataPositions,rawWikidataPositions,wikidataQid,playerId
Ademola Lookman Olajade Alade Aylola Lookman,1997-10-20,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q21484766,78123394-ae0a-4e28-9d56-7a805fb637b3
Aimar Oroz,2001-11-27,WIKIDATA_SUPERSET,MID,MID + ATT,inside forward | central midfielder,Q64735295,c32ad17b-2c6b-4c9c-b290-669f15c44cfb
Ainsley Cory Maitland-Niles,1997-08-29,WIKIDATA_SUPERSET,DEF,DEF + MID,full-back | central midfielder,Q18614641,903a404c-e3d4-4180-a0c5-3785646b8c17
Aitor Ruibal,1996-03-22,WIKIDATA_SUPERSET,DEF,DEF + ATT,forward | full-back,Q46748781,e9b3efc1-f1c4-4d82-aa4d-70ee59c9c7d5
Aleix García,1997-06-28,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q19968626,e8720574-ff0a-40cb-aca6-4419de7e2bf5
Alejandro Garnacho Ferreyra,2004-07-01,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q111366053,bc68d808-7542-4881-a3d9-7a2b30ffc86a
Álex Berenguer,1995-07-04,WIKIDATA_SUPERSET,ATT,MID + ATT,winger | inside forward,Q18022026,8e96c2da-62a4-465b-8847-debabc867e93
Álex Calatrava,2000-06-22,WIKIDATA_SUPERSET,MID,MID + ATT,midfielder | winger,Q118136957,e7966845-dd22-4042-a4c5-5d2744b1be50
Allan,2004-04-19,WIKIDATA_SUPERSET,ATT,MID + ATT,winger | attacking midfielder,Q132307478,c4d381fd-0e47-4cb3-8266-130abb4cfecd
Angeliño,1997-01-04,WIKIDATA_SUPERSET,DEF,DEF + MID + ATT,full-back | wide midfielder,Q20688718,f10808cb-6ad0-4569-b124-507dc5916250
Anis Mehmeti,2001-01-09,WIKIDATA_SUPERSET,MID,MID + ATT,winger,Q101310788,f11a3ddc-773b-4ce4-a35c-d73bfc320956
Ansu Fati,2002-10-31,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half | forward,Q66743376,6191e06d-ee2d-45c7-9bdc-a9b981bdbb48
Anthony Michael Gordon,2001-02-24,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q45179405,708f0af7-1e29-432b-92b9-1dcc81248d7d
Antony,2000-02-24,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q59205608,d9754856-4cbe-4042-8600-d432e4313c6a
Archie James Francis Gray,2006-03-12,WIKIDATA_SUPERSET,MID,DEF + MID,central midfielder | full-back | centre-back,Q114826394,460d0145-c30c-423e-af9b-e8356e5fd73e
Arnaud Dominique Nordin,1998-06-17,WIKIDATA_SUPERSET,MID,MID + ATT,midfielder | forward,Q27049316,18f4be48-00ba-4bc4-979b-396c3fdf427a
Aron Leonard Dønnum,1998-04-20,WIKIDATA_SUPERSET,MID,MID + ATT,forward | right midfielder | right winger | midfielder,Q35314083,7f436190-8808-452b-a868-8f6ee5dc643f
Axel Laurent Angel Lambert Witsel,1989-01-12,WIKIDATA_SUPERSET,MID,DEF + MID,defensive midfielder | centre-back,Q151838,8bfa781e-ca42-452a-868d-d3d3a9d8fff3
Bakery Jatta,1998-06-06,WIKIDATA_SUPERSET,MID,MID + ATT,winger,Q24577799,446c931b-75c4-4a7e-b13e-bbde81e8f0e9
Benjamin James Chilwell,1996-12-21,WIKIDATA_SUPERSET,DEF,DEF + MID,full-back | wing-back,Q21621029,f21d41e6-6be6-4e7a-83af-d2874befa2e0
Bernardo Silva,1994-08-10,WIKIDATA_SUPERSET,MID,MID + ATT,wing half | midfielder,Q15521306,3e1a9e57-6dda-4f54-b601-3543beaa0dae
Bote Ridle Nzuzi Baku,1998-04-08,WIKIDATA_SUPERSET,DEF,DEF + MID,midfielder | full-back,Q46126025,6cd69d3f-84ae-4ea8-82d8-62ebbd71a31c
Brennan Price Johnson,2001-05-23,WIKIDATA_SUPERSET,MID,MID + ATT,forward | winger,Q66108160,310f1333-1159-4ea6-8d0f-a24d3f157720
Brugui,1996-11-04,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q42379487,14e287ce-32f7-439c-ab33-8e8c717e2560
Bryan Tetsadong Marceau Mbeumo,1999-08-07,WIKIDATA_SUPERSET,MID,MID + ATT,winger,Q49561427,b4ddbb88-3546-4a2e-b5ce-2ee27c3f0c7d
Bukayo Ayoyinka Temidayo Saka,2001-09-05,WIKIDATA_SUPERSET,MID,MID + ATT,winger,Q59306386,3f0f3fc8-9b14-41e6-a3d0-c5eb3bd346bb
Callum James Hudson-Odoi,2000-11-07,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q42396622,6ed41f38-703f-459d-99fc-52589178941d
Can Yılmaz Uzun,2005-11-11,WIKIDATA_SUPERSET,MID,MID + ATT,attacking midfielder | forward,Q118799181,bced430b-1be0-4c8e-a21c-f7d8f91c4162
César Palacios,2004-11-11,WIKIDATA_SUPERSET,MID,MID + ATT,inside forward,Q117661592,f225db81-842a-4ab7-b32d-7200b028258d
Charles Marc De Ketelaere,2001-03-10,WIKIDATA_SUPERSET,ATT,MID + ATT,attacking midfielder | forward,Q68607008,6e5eda14-c039-4c48-88e4-e7473bdbb78b
Chukwunonso Tristan Madueke,2002-03-10,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q66801705,97234d8c-16ed-4c6a-858b-3cce1d5731aa
Cody Mathès Gakpo,1999-05-07,WIKIDATA_SUPERSET,MID,MID + ATT,left winger | centre-forward,Q28801927,7c14d8b4-1482-4e92-9493-a2669d9dac7b
Cole Jermaine Palmer,2002-05-06,WIKIDATA_SUPERSET,ATT,MID + ATT,attacking midfielder | winger,Q99760796,fd16350d-c1cc-4482-9447-960e4a61aa72
Dango Aboubacar Faissal Ouattara,2002-02-11,WIKIDATA_SUPERSET,ATT,MID + ATT,forward | wing half,Q108000402,63e5b1ea-8571-4f46-97e9-08588ba7ab45
Dani Díaz,2006-06-22,WIKIDATA_SUPERSET,MID,MID + ATT,winger,Q128140004,ba48c9cb-c12c-478c-bd20-f4333b2bc261
Dani Raba,1995-10-29,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q42332999,457f8191-b58c-4b2e-9c49-2b70d17a3e60
Daniel Owen James,1997-11-10,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q30689579,1b5643c0-f7a8-4e26-8123-0bedd36b48c8
David Neres,1997-03-03,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q27801691,6e05aeeb-d785-4d53-b2f8-ac9d96e93eb1
Dawid Igor Kownacki,1997-03-14,WIKIDATA_SUPERSET,ATT,MID + ATT,midfielder | forward,Q15983214,7f058ecf-9eee-4f43-ad0c-8dae52061451
Dembo Sylla,2002-11-10,WIKIDATA_SUPERSET,DEF,DEF + MID + ATT,full-back | right midfielder,Q115677993,e6fb6d42-c2e6-490f-b43a-cead356f2d6e
Désiré Doué,2005-06-03,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q112170256,7c2df1bd-2202-40a3-a8ce-1ad8b75dcb1b
Diego Moreira,2004-08-06,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q110616805,fdae4fe6-3b39-4b7e-aefe-338c89c169e6
Dwight James Matthew McNeil,1999-11-22,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q53652291,f36d46e3-a29c-4010-83c8-d3cd60fbb196
Eberechi Oluchi Eze,1998-06-29,WIKIDATA_SUPERSET,MID,MID + ATT,attacking midfielder | left winger,Q28445512,8bd7681d-516d-49cd-8a12-c0936dced7e5
Edon Zhegrova,1999-03-31,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q42303600,1a447f0f-0f75-4d33-bb02-10f5855b3e66
Einar Galilea,1994-05-22,WIKIDATA_SUPERSET,DEF,DEF + MID,centre-back | defensive midfielder,Q16934993,c2e29a9d-507f-4cb3-b0be-2eead38fd1be
Ethan Kwame Colm Raymond Ampadu,2000-09-14,WIKIDATA_SUPERSET,MID,DEF + MID,defender | midfielder,Q26250324,4fade750-df4c-47fa-b7af-225d1bc23a8e
Fábio Carvalho,2002-08-30,WIKIDATA_SUPERSET,MID,MID + ATT,wing half | attacking midfielder,Q104784711,b78d32dc-8eb8-4c7b-8f71-2ee98a510b73
Federico Bernardeschi,1994-02-16,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q15220993,51e2487f-bf51-4644-a4b5-8600da6b1425
Federico Chiesa,1997-10-25,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q26704703,d23976aa-5898-4e01-b6b7-0483b7b94aff
Federico Gatti,1998-06-24,WIKIDATA_SUPERSET,DEF,DEF + MID,defender | midfielder,Q108491198,f5f9087f-fbc0-404f-8238-2a02a8240ee1
Felix Agu,1999-09-27,WIKIDATA_SUPERSET,DEF,DEF + MID,midfielder | full-back,Q52357690,88c56c54-576f-4f8f-a57d-efc195a5ca4f
Ferran Torres,2000-02-29,WIKIDATA_SUPERSET,ATT,MID + ATT,forward | winger,Q44297797,fa0ba358-e8a9-4260-9625-cd3368cec32f
Francisco Conceição,2002-12-14,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q99617367,0e86a2ac-abf3-4279-9284-dd1d91b42966
Franck Honorat,1996-08-11,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q15146137,25bf6597-80e1-48b8-b346-dc2215935653
Franco Mastantuono,2007-08-14,WIKIDATA_SUPERSET,ATT,MID + ATT,midfielder | forward,Q123289726,6fb13966-bab3-434f-bfe5-1832a4280ebc
Gabriel Alonso Suazo Urbina,1997-08-09,WIKIDATA_SUPERSET,DEF,DEF + MID,midfielder | defender,Q21044405,4e2ec374-99c4-4c85-90ac-ada63d37c3fe
Gauthier Hein,1996-08-07,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q27015963,d5849d94-1fa2-4eb8-abe9-560cf633fb50
Germán Valera,2002-03-16,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q80968148,4447fcbd-f557-4ad6-9b59-10f01a8bcfd1
Gianluca Cristiano Busio,2002-05-28,WIKIDATA_SUPERSET,MID,MID + ATT,forward | midfielder,Q51455020,874321a3-4819-4230-bb40-5c80a59b9ba1
Gonçalo Guedes,1996-11-29,WIKIDATA_SUPERSET,MID,MID + ATT,wing half | forward,Q16729477,999eb488-3f5a-4266-93e0-94166a02ec25
Harry Wilson,1997-03-22,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q2476368,abffc2aa-c6c0-4c17-b244-99fb435f6909
Harvey Lewis Barnes,1997-12-09,WIKIDATA_SUPERSET,MID,MID + ATT,winger,Q27974879,1d2de66a-255b-48e5-a508-f5a8bc38a28d
Hugo González,2003-02-07,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q121610335,5d25c3be-a456-4a0f-82f5-a64133c86b91
Hugo Novoa,2003-01-24,WIKIDATA_SUPERSET,ATT,DEF + MID + ATT,wing half | full-back,Q99430844,6535697d-54e3-4efa-a25d-d31b8b7a9f13
Ibai Aguirre,2007-01-10,WIKIDATA_SUPERSET,MID,MID + ATT,wide midfielder,Q136763194,28dd30cd-c468-4649-b565-edf35db2e2dc
Iliman Cheikh Baroy Ndiaye,2000-03-06,WIKIDATA_SUPERSET,MID,MID + ATT,right winger,Q105956269,59c5c9e4-150f-47e8-9e6d-b64e737cced6
Isi Palazón,1994-12-27,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q20016464,2c256b02-0b46-4af2-bdd7-e95a9603349a
Issahaku Abdul Fatawu,2004-03-08,WIKIDATA_SUPERSET,MID,MID + ATT,forward | winger,Q105812639,8c3949bd-8763-42e1-bccd-66f4e6722b21
Iván Martín,1999-02-14,WIKIDATA_SUPERSET,MID,MID + ATT,inside forward,Q60667184,9d920e4a-c168-4e95-a0b7-cde86614c0c9
Jack Peter Grealish,1995-09-10,WIKIDATA_SUPERSET,MID,MID + ATT,winger | attacking midfielder,Q16056053,de8edcd6-f448-4ceb-bdbe-1d150b786ef3
Jacob Kai Murphy,1995-02-24,WIKIDATA_SUPERSET,MID,MID + ATT,winger,Q15622117,080dac56-8f39-481f-b44d-a48e72b8e769
Jaden Philogene-Bidace,2002-02-08,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q106916429,d7af669b-63d1-4ee5-9d4f-3b965979bccf
Jaidon Kya Denley Anthony,1999-12-01,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q103417114,45e843a2-d4d4-4818-a0df-816e204c9be4
Javi Galán,1994-11-19,WIKIDATA_SUPERSET,DEF,DEF + MID + ATT,wing half | defender,Q27662868,5b0149ee-8b7d-40ef-8fb4-3bb98286a48b
Jean-Mattéo Bahoya Négoce,2005-05-07,WIKIDATA_SUPERSET,ATT,MID + ATT,left winger | attacking midfielder,Q116052667,fb088896-9f69-4920-945f-6f0f2eb57aae
Joaquín Muñoz,1999-03-10,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q59914882,e2d0d59c-c58c-457a-acea-71ffa6a0ede3
John Stones,1994-05-28,WIKIDATA_SUPERSET,DEF,DEF + MID,centre-back | defensive midfielder,Q2025900,d672324e-ff15-4c63-8fcb-e75109ab852e
John Yeboah Zamora,2000-06-23,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q58215731,7732d96d-f544-4a0d-859b-be57666df117
Jonas Hofmann,1992-07-14,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q822781,6dc4e9fa-f11b-4ede-9d58-1a9ac3b97094
Jorge de Frutos,1997-02-20,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q65159565,acf2cee9-fa49-45ec-8448-c444967854b5
Josan,1989-12-03,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q20925473,0850e3a0-2ff3-4ae3-bd93-fcc480d41bf4
Juan Cruz,2000-04-25,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q53855510,25d3dddc-a7e7-4617-8eed-8044ef6f7726
Justin Dean Kluivert,1999-05-05,WIKIDATA_SUPERSET,ATT,MID + ATT,winger | attacking midfielder,Q26934107,0e2fce1e-7e6a-4277-bfc4-ee5529248f69
Kamaldeen Sulemana,2002-02-15,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q86269576,de784608-88ba-42e2-b2a4-431217a1ab30
Kandet Diawara,2000-02-10,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q121093987,8fb24c2b-df65-457a-a1ae-a7f99f1d05f6
Karim-David Adeyemi,2002-01-18,WIKIDATA_SUPERSET,ATT,MID + ATT,forward | winger,Q56424307,88083e73-88b2-4bf4-8ac6-a8511b39dc92
Kenan Yıldız,2005-05-04,WIKIDATA_SUPERSET,ATT,MID + ATT,winger | forward | attacking midfielder,Q113184832,79503adb-94be-4252-b8a4-19d3afe29d0f
Khvicha Kvaratskhelia,2001-02-12,WIKIDATA_SUPERSET,ATT,MID + ATT,forward | midfielder,Q61780902,72ee1fcf-64e8-4959-8808-ccd85ecb3fac
Kike Barja,1997-04-01,WIKIDATA_SUPERSET,MID,MID + ATT,winger,Q32236556,1fcf78c5-49ae-449c-876c-7bfefc0f4983
Konrad Laimer,1997-05-27,WIKIDATA_SUPERSET,MID,DEF + MID,midfielder | full-back,Q18670270,0dc90459-27d9-480b-b0ad-62e673e28e60
Lamine Yamal,2007-07-13,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q113704154,f527bbf0-1ab2-4473-af85-5042e315b367
Lander Astiazarán,2006-04-07,WIKIDATA_SUPERSET,MID,MID + ATT,inside forward,Q135676761,56193199-3a58-4a61-9ae2-dff6c0a29399
Lee Kang-In,2001-02-19,WIKIDATA_SUPERSET,ATT,MID + ATT,attacking midfielder | winger,Q16174734,e81c28d0-1a31-4b10-9065-038416deff7f
Lennart Karl,2008-02-22,WIKIDATA_SUPERSET,MID,MID + ATT,attacking midfielder | winger,Q130776450,6f5539f7-64cc-4927-8b56-6aa2c973a1f5
Leo Sauer,2005-12-16,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q118515513,f0c0b4f2-68c2-4eea-a87d-74cb5b4c2e0e
Leonardo Spinazzola,1993-03-25,WIKIDATA_SUPERSET,DEF,DEF + MID,midfielder | defender,Q6526099,737e4d7a-ce19-40ab-9aab-bb5e3d680cd7
Lewis Kieran Hall,2004-09-08,WIKIDATA_SUPERSET,DEF,DEF + MID,full-back | midfielder,Q110487162,cc8fde71-f27a-4114-9ee2-ff95c0256253
Luis Fernando Díaz Marulanda,1997-01-13,WIKIDATA_SUPERSET,MID,MID + ATT,left winger,Q28531111,83a96ab0-943b-475f-9f51-588453ac0d08
Luis Rioja,1993-10-16,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q56223387,ea86da8f-f9c1-41b1-a039-03b4264551a6
Maghnes Akliouche,2002-02-25,WIKIDATA_SUPERSET,MID,MID + ATT,attacking midfielder | right winger,Q108910786,57ad8ba6-d303-4d12-bc79-ff0cba3278f4
Marcus Joseph Tavernier,1999-03-22,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q37996874,43474323-a327-4f3e-9fc0-bbb146821bf6
Mario Götze,1992-06-03,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q104454,ad5fdef2-1eba-4f51-bde3-c900734840c9
Marius Wolf,1995-05-27,WIKIDATA_SUPERSET,MID,DEF + MID + ATT,full-back | winger,Q18342471,ee03ccfb-dc3d-4a8d-9cbf-a85b80901865
Matheus Nunes,1998-08-27,WIKIDATA_SUPERSET,DEF,DEF + MID,midfielder | full-back,Q96211488,1a11b722-9996-4a36-b494-38626e163478
Matteo Cancellieri,2002-02-12,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q108312337,1d867e24-16ba-40a9-b2b0-6f45993dcce8
Mattes Hansen,2004-05-15,WIKIDATA_SUPERSET,DEF,DEF + MID,defender | midfielder,Q124261341,191268cd-2dce-400b-a36c-5e1bc2b2aad4
Matthew Stuart Cash,1997-08-07,WIKIDATA_SUPERSET,DEF,DEF + MID + ATT,wing-back | wing half | full-back,Q23041943,4574f581-8f02-49cd-a2e8-a6997ea15d9b
Maximilian Mittelstädt,1997-03-18,WIKIDATA_SUPERSET,DEF,DEF + MID + ATT,defender | midfielder | winger,Q22998602,3325b302-1111-4ada-9c8f-7a50b7b5b9ef
Michael Akpovie Olise,2001-12-12,WIKIDATA_SUPERSET,MID,MID + ATT,winger | attacking midfielder,Q62050484,888a13b5-121c-447c-b940-d74e127bea08
Michael Gregoritsch,1994-04-18,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half | forward,Q699094,9f35ee42-1262-4ebb-a40a-81619c0fc937
Mika Marcel Godts,2005-06-07,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q113515004,1d9236ed-5de5-49a0-aacc-aab6f47ec063
Mikel Rodríguez,2002-04-03,WIKIDATA_SUPERSET,MID,MID + ATT,wide midfielder,Q131295855,438bb134-5cfe-4e2f-9a54-d3e843768c08
Mikkel Krogh Damsgaard,2000-07-03,WIKIDATA_SUPERSET,MID,MID + ATT,wing half | midfielder,Q45034698,f28236b4-3a3d-4989-b36d-1a5809a24b6b
Mitchell-Elijah Weiser,1994-04-21,WIKIDATA_SUPERSET,DEF,DEF + MID,midfielder | defender,Q694852,17f1d557-4010-4c41-8467-6aec8ab4c02c
Mohamed Yassir Zabiri,2005-02-23,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q130301496,b1062bb2-6df3-42d3-8895-6023d0591014
Moncayola,1998-05-13,WIKIDATA_SUPERSET,MID,MID + ATT,defensive midfielder | wide midfielder,Q66528894,ebda06cd-3e19-45d4-afc0-a40a998100d9
Morgan Elliot Rogers,2002-07-26,WIKIDATA_SUPERSET,ATT,MID + ATT,attacking midfielder | winger,Q61598452,77c6025e-e66f-42d0-acef-acead87e44d2
Mousa Tamari,1997-06-10,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q27909473,31b1ccb5-c93c-48e0-b7a5-bf9aa36a971a
Moussa Diaby,1999-07-07,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q51855361,2dee3091-5e54-4eee-a5fc-c2c46a120e86
Mykhailo Mudryk,2001-01-05,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q58494476,84925266-c130-4c02-84b6-f1045d53fa8c
Nanitamo Jonathan Ikoné,1998-05-02,WIKIDATA_SUPERSET,ATT,MID + ATT,forward | winger,Q20666686,683b70bd-6f61-4bc6-9185-2024787d0018
Nathan Adewale Temitayo Tella,1999-07-05,WIKIDATA_SUPERSET,ATT,MID + ATT,forward | midfielder,Q96464733,b7f308ed-8674-4fc7-a0d3-aa1787ada3aa
Nayef Aguerd,1996-03-30,WIKIDATA_SUPERSET,DEF,DEF + MID,defender | midfielder,Q28872567,235fc6eb-2fdc-4713-afee-324c56515053
Neal Maupay,1996-08-14,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q1101455,af534771-7b0c-4a35-9a2c-e43ac57a1dfe
Nick Woltemade,2002-02-14,WIKIDATA_SUPERSET,ATT,MID + ATT,forward | attacking midfielder,Q84158344,e2661f34-9d7e-42be-9169-174bb4676383
Nico Williams,2002-07-12,WIKIDATA_SUPERSET,MID,MID + ATT,forward | winger,Q104414736,184991e2-894a-4c7f-8f72-60ee2c09056f
Nicola Zalewski,2002-01-23,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q64031898,db238034-2230-4696-80e9-71f840ebe8c8
Nicolas Pépé,1995-05-29,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q20641306,f0d0907f-3dea-4936-999f-9a7f82c59ac4
Nicolò Cambiaghi,2000-12-28,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q99836889,c677457f-5937-4290-915c-325db4f3b51a
Nicolò Zaniolo,1999-07-02,WIKIDATA_SUPERSET,ATT,MID + ATT,midfielder | forward,Q28974273,f5c5f9f6-7349-4cf6-bca9-c30f9839db27
Niklas Stark,1995-04-14,WIKIDATA_SUPERSET,DEF,DEF + MID,defender | midfielder,Q3341549,29f3c20a-9b4c-419e-abf4-f5d6e5dec898
Oier Zarraga,1999-01-04,WIKIDATA_SUPERSET,MID,MID + ATT,central midfielder | wide midfielder,Q99231391,7b50a290-de1e-45c2-9e1d-2ca5ca0b98c4
Oihan Sancet,2000-04-25,WIKIDATA_SUPERSET,MID,MID + ATT,inside forward | central midfielder | wide midfielder,Q66466886,7988ebc9-76cf-4e8d-a9e1-90ffa86c41e4
Oliver Batista Meier,2001-02-16,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q65683252,c80a573c-1b97-4908-9857-27dc5ca2c351
Oliver Jasen Burke,1997-04-07,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q18125392,1b992cac-77ff-4f04-be7c-4442eca26aee
Omari Elijah Giraud-Hutchinson,2003-10-29,WIKIDATA_SUPERSET,ATT,MID + ATT,winger | attacking midfielder,Q111145131,839ac84c-5961-40d5-94c0-7d24192ca262
Omri Gandelman,2000-05-16,WIKIDATA_SUPERSET,MID,DEF + MID + ATT,centre-back | left-back | midfielder | defender | central midfielder | defensive midfielder | forward | second striker | attacking midfielder | wing-back,Q101246957,e9c261e3-eef1-4871-a22f-38690ebb21b7
Oscar Exequiel Zeballos,2002-04-24,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half | forward,Q71735627,e1bbd4af-36fd-424a-8a59-72e94bcbfe40
Oso,2003-07-09,WIKIDATA_SUPERSET,DEF,DEF + MID + ATT,defender | winger,Q123709305,34b2bb74-4607-489c-b8f7-656d30e7cc93
Pablo Ibáñez,1998-09-20,WIKIDATA_SUPERSET,MID,DEF + MID,defensive midfielder | centre-back,Q112237324,f795055f-d744-4315-abeb-3e3451585166
Pablo Marín,2003-07-03,WIKIDATA_SUPERSET,MID,MID + ATT,inside forward,Q110652731,389ba2a1-1a92-4b1c-b56b-dd79cee9b208
Patrick James Coleman McNair,1995-04-27,WIKIDATA_SUPERSET,DEF,DEF + MID,defender | midfielder,Q18142105,ee20ee21-e482-412e-a0eb-50335c4c97e9
Paul Nebel,2002-10-10,WIKIDATA_SUPERSET,MID,MID + ATT,attacking midfielder | winger,Q97344548,73f9be23-7cdf-4b8a-b44e-cd068fd0bd09
Paulo Exequiel Dybala,1993-11-15,WIKIDATA_SUPERSET,ATT,MID + ATT,forward | midfielder | inside forward,Q166317,1620261c-4816-4eec-b8e6-36cc15dabc9f
Pedro Neto,2000-03-09,WIKIDATA_SUPERSET,MID,MID + ATT,winger,Q30036972,eac60278-f30e-4ffd-bbaa-e46a66a8f3a5
Peio Canales,2005-01-17,WIKIDATA_SUPERSET,MID,MID + ATT,wide midfielder,Q123825008,7866baa5-4096-4c7e-a436-c494b6d0fb05
Pere Milla,1992-09-23,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q19664487,43dd9bd9-e878-4cb4-a54b-4be0072ea9b5
Pote,1998-06-28,WIKIDATA_SUPERSET,MID,MID + ATT,attacking midfielder | left winger,Q56289593,97b544b4-a82c-4476-b0a2-7d4230a76a0f
Quentin Ndjantou Mbitcha,2007-07-23,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q136388359,747d82e6-6f26-4665-8eb0-6799226e7721
Rayan,2006-08-03,WIKIDATA_SUPERSET,MID,MID + ATT,forward | winger,Q115937989,5bb808a6-ae54-4f68-96cb-57ccc3c93dd3
Ritsu Dōan,1998-06-16,WIKIDATA_SUPERSET,MID,MID + ATT,winger,Q20630956,d6fcf49a-b5f2-4b09-be27-cea9e75b5df2
Robert Andrich,1994-09-22,WIKIDATA_SUPERSET,MID,DEF + MID,defensive midfielder | centre-back,Q19958843,b9976cba-403e-4713-a3e6-6537d1b6602e
Robert Navarro,2002-04-12,WIKIDATA_SUPERSET,MID,MID + ATT,inside forward,Q60050053,9e22dee1-7630-45bf-ab08-7e33915bfb68
Rodrigo Mora,2007-05-05,WIKIDATA_SUPERSET,MID,MID + ATT,attacking midfielder | winger,Q122733082,dd2fc8c8-767d-459f-8507-53d75f7a3894
Rodrigo Riquelme,2000-04-02,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q67085348,4d3dd25b-33da-4863-bd06-122712c6aee9
Rubén Estephan Vargas Martínez,1998-08-05,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q38053896,42e66a18-9325-45c4-8e6d-cd4b6a2f3325
Rubén García,1993-07-14,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q1438885,c2bcd32b-2d99-47a7-a291-7837268a8d87
Samuel Chimerenka Chukwueze,1999-05-22,WIKIDATA_SUPERSET,MID,MID + ATT,wing half,Q57017297,1d04f537-7673-40dc-a5a6-7451d9b71658
Sheraldo Rudi Becker,1995-02-09,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q16069260,f29f1896-d299-4e88-91af-8a37569842b7
Stephan Kareem El Shaarawy,1992-10-27,WIKIDATA_SUPERSET,ATT,MID + ATT,winger,Q12984,6e2507cd-c053-4d7e-99da-ebe0bfee722b
Trent John Alexander-Arnold,1998-10-07,WIKIDATA_SUPERSET,DEF,DEF + MID,full-back | midfielder,Q27569376,6d87315b-2f93-483b-9e39-7c3bb1137202
Tyler Shaan Adams,1999-02-14,WIKIDATA_SUPERSET,MID,DEF + MID,defender | midfielder,Q19871581,528f9127-001d-4973-9190-29ff7140e36e
Unai Gómez,2003-05-25,WIKIDATA_SUPERSET,MID,MID + ATT,inside forward | winger,Q115186979,ea19ac15-382c-4e32-a9f0-baec41eda7d1
Urko González,2001-03-20,WIKIDATA_SUPERSET,MID,DEF + MID,defensive midfielder | centre-back,Q99514820,e0deed21-c227-46ce-a3dd-a2957755b955
